Tag Code,Release Site Name,Mark Date,Mark DOY,Mark Length mm,Mark Weight g,Release Temp. C,Recap Date,Recap DOY,Recap Site,Recap Length mm,Recap Weight g,Total days,Growth_FL,Growth_Wt
3D9.1BF130B741,Bear Valley Creek,7/23/2002,204,66,3.3,14,5/30/2003,150,Little Goose,117,16.8,311,51,13.5
3D9.1BF0F55FA5,Bear Valley Creek,7/23/2002,204,68,4.2,14,5/28/2003,148,Little Goose,98,9.8,309,30,5.6
3D9.1BF12F343C,Bear Valley Creek,7/23/2002,204,68,3.9,14,5/12/2003,132,Little Goose,109,12.7,293,41,8.8
3D9.1BF12F2F07,Bear Valley Creek,7/23/2002,204,69,4.6,14,5/5/2003,125,Little Goose,102,10.1,286,33,5.5
3D9.1BF1308F03,Bear Valley Creek,7/23/2002,204,69,4.3,14,5/28/2003,148,Little Goose,113,14.3,309,44,10
3D9.1BF12EFD61,Bear Valley Creek,7/23/2002,204,71,4.8,14,6/1/2003,152,Little Goose,115,14.2,313,44,9.4
3D9.1BF130FB7D,Bear Valley Creek,7/23/2002,204,71,4.8,14,4/27/2003,117,Little Goose,118,15.3,278,47,10.5
3D9.1BF12EDE85,Bear Valley Creek,7/23/2002,204,73,5.1,14,5/31/2003,151,Little Goose,108,13.7,312,35,8.6
3D9.1BF0E0CA04,Bear Valley Creek,7/24/2002,205,55,2.5,15.5,6/8/2003,159,Little Goose,103,11.2,319,48,8.7
3D9.1BF12EFCE2,Bear Valley Creek,7/24/2002,205,55,2.7,15.5,6/12/2003,163,Little Goose,104,11.2,323,49,8.5
3D9.1BF1303479,Bear Valley Creek,7/24/2002,205,55,2.2,15.5,5/8/2003,128,Little Goose,102,10.7,288,47,8.5
3D9.1BF12ED9C5,Bear Valley Creek,7/24/2002,205,56,3,15.5,6/1/2003,152,Little Goose,102,12.4,312,46,9.4
3D9.1BF13C169F,Bear Valley Creek,7/24/2002,205,57,2.2,14.5,5/26/2003,146,Little Goose,104,12.7,306,47,10.5
3D9.1BF12EE7EA,Bear Valley Creek,7/24/2002,205,58,2.5,15.5,4/26/2004,117,Little Goose,115,14.4,277,57,11.9
3D9.1BF12ED8F6,Bear Valley Creek,7/24/2002,205,59,2.5,14.5,4/27/2003,117,Little Goose,108,10.7,277,49,8.2
3D9.1BF130A53D,Bear Valley Creek,7/24/2002,205,60,3.7,15.5,6/12/2003,163,Little Goose,108,13,323,48,9.3
3D9.1BF13C824C,Bear Valley Creek,7/24/2002,205,62,3.4,14.5,6/6/2003,157,Little Goose,105,11.4,317,43,8
3D9.1BF12EF8F0,Bear Valley Creek,7/24/2002,205,62,3.2,15.5,6/1/2003,152,Little Goose,110,13.9,312,48,10.7
