,Site,Project,Longitude,Latitude,Elevation,Year
416,37Woodlands2012,Woodlands,-117.04945,54.35575,827,2012
417,44Woodlands2012,Woodlands,-116.5636,54.10045,989,2012
418,39Woodlands2012,Woodlands,-116.3141167,54.08173333,959,2012
419,48Woodlands2012,Woodlands,-116.70105,54.52158333,768,2012
420,40Woodlands2012,Woodlands,-116.4852833,54.42486667,939,2012
421,42Woodlands2012,Woodlands,-116.0727,54.08326667,993,2012
422,35Woodlands2012,Woodlands,-116.05025,54.0662,1016,2012
423,45Woodlands2012,Woodlands,-116.12645,54.36233333,1029,2012
424,46Woodlands2012,Woodlands,-115.6812167,54.37495,1017,2012
425,48Foothills2013,Foothills,-118.7256833,54.10046667,1109,2013
426,46Foothills2013,Foothills,-118.7508167,54.13475,1035,2013
427,41Foothills2013,Foothills,-118.5362333,54.17985,1029,2013
428,62Foothills2013,Foothills,-118.5125833,54.16435,1249,2013
429,40Foothills2013,Foothills,-118.54175,54.19728333,1069,2013
430,52Foothills2013,Foothills,-118.4816667,54.17505,1309,2013
431,53Foothills2013,Foothills,-118.47405,54.20263333,1097,2013
432,63Foothills2013,Foothills,-118.4878,54.23885,1115,2013
433,64Foothills2013,Foothills,-117.4975833,53.76436667,1214,2013
434,61Foothills2013,Foothills,-116.9677833,53.47491667,1094,2013
